MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20201020,RI,0,0,0,55.61,44.39,0,10/20/2020,10/26/2020,2
20201013,RI,0,0,0,0.98,99.02,0,10/13/2020,10/19/2020,2
20201006,RI,0,0,0,0.98,99.02,0,10/6/2020,10/12/2020,2
20200929,RI,0,0,0.98,0,99.02,0,9/29/2020,10/5/2020,2
20200922,RI,0,0,0.98,4.55,94.47,0,9/22/2020,9/28/2020,2
20200915,RI,0,0,0.98,19.5,79.52,0,9/15/2020,9/21/2020,2
20200908,RI,0,0,1.54,98.46,0,0,9/8/2020,9/14/2020,2
20200901,RI,0,0,1.54,98.46,0,0,9/1/2020,9/7/2020,2
20200825,RI,0,0,56.98,43.02,0,0,8/25/2020,8/31/2020,2
20200818,RI,0,0,56.98,43.02,0,0,8/18/2020,8/24/2020,2
20200811,RI,0,1.63,98.37,0,0,0,8/11/2020,8/17/2020,2
20200804,RI,0,17.75,82.25,0,0,0,8/4/2020,8/10/2020,2
20200728,RI,0,96.77,3.23,0,0,0,7/28/2020,8/3/2020,2
20200721,RI,7.52,92.48,0,0,0,0,7/21/2020,7/27/2020,2
20200714,RI,7.52,92.48,0,0,0,0,7/14/2020,7/20/2020,2
20200707,RI,21.91,78.09,0,0,0,0,7/7/2020,7/13/2020,2
20200630,RI,95.98,4.02,0,0,0,0,6/30/2020,7/6/2020,2
20200623,RI,81.84,18.16,0,0,0,0,6/23/2020,6/29/2020,2
20200616,RI,81.84,18.16,0,0,0,0,6/16/2020,6/22/2020,2
20200609,RI,98.52,1.48,0,0,0,0,6/9/2020,6/15/2020,2
20200602,RI,100,0,0,0,0,0,6/2/2020,6/8/2020,2
20200526,RI,100,0,0,0,0,0,5/26/2020,6/1/2020,2
20200519,RI,100,0,0,0,0,0,5/19/2020,5/25/2020,2
20200512,RI,100,0,0,0,0,0,5/12/2020,5/18/2020,2
20200505,RI,100,0,0,0,0,0,5/5/2020,5/11/2020,2
20200428,RI,100,0,0,0,0,0,4/28/2020,5/4/2020,2
20200421,RI,100,0,0,0,0,0,4/21/2020,4/27/2020,2
20200414,RI,100,0,0,0,0,0,4/14/2020,4/20/2020,2
20200407,RI,100,0,0,0,0,0,4/7/2020,4/13/2020,2
20200331,RI,100,0,0,0,0,0,3/31/2020,4/6/2020,2
20200324,RI,9.41,90.59,0,0,0,0,3/24/2020,3/30/2020,2
20200317,RI,0.98,99.02,0,0,0,0,3/17/2020,3/23/2020,2
20200310,RI,100,0,0,0,0,0,3/10/2020,3/16/2020,2
20200303,RI,100,0,0,0,0,0,3/3/2020,3/9/2020,2
20200225,RI,100,0,0,0,0,0,2/25/2020,3/2/2020,2
20200218,RI,100,0,0,0,0,0,2/18/2020,2/24/2020,2
20200211,RI,100,0,0,0,0,0,2/11/2020,2/17/2020,2
20200204,RI,100,0,0,0,0,0,2/4/2020,2/10/2020,2
20200128,RI,100,0,0,0,0,0,1/28/2020,2/3/2020,2
20200121,RI,100,0,0,0,0,0,1/21/2020,1/27/2020,2
20200114,RI,100,0,0,0,0,0,1/14/2020,1/20/2020,2
20200107,RI,100,0,0,0,0,0,1/7/2020,1/13/2020,2
20191231,RI,100,0,0,0,0,0,12/31/2019,1/6/2020,2
20191224,RI,100,0,0,0,0,0,12/24/2019,12/30/2019,2
20191217,RI,100,0,0,0,0,0,12/17/2019,12/23/2019,2
20191210,RI,100,0,0,0,0,0,12/10/2019,12/16/2019,2
20191203,RI,100,0,0,0,0,0,12/3/2019,12/9/2019,2
20191126,RI,100,0,0,0,0,0,11/26/2019,12/2/2019,2
20191119,RI,100,0,0,0,0,0,11/19/2019,11/25/2019,2
20191112,RI,100,0,0,0,0,0,11/12/2019,11/18/2019,2
20191105,RI,100,0,0,0,0,0,11/5/2019,11/11/2019,2
